epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
134,18751.9,0.95591,0.65424,1.04576,0.79916,0.66808,0.68232,0.4528,1.82895,1.66997,1.66953,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,18890.7,0.95565,0.64586,1.04348,0.80269,0.66691,0.68193,0.45048,1.8299,1.67347,1.67131,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,19029.1,0.94014,0.64004,1.03931,0.79594,0.66954,0.68248,0.45099,1.8293,1.67694,1.67029,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,19167.1,0.94599,0.64418,1.04097,0.79831,0.66796,0.6817,0.4529,1.82949,1.68087,1.6713,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,19305,0.94765,0.64647,1.03855,0.79796,0.66638,0.68094,0.45238,1.82792,1.68743,1.66925,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,19442.6,0.94217,0.64228,1.03775,0.79849,0.66744,0.68091,0.45284,1.82705,1.69001,1.66935,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,19580.4,0.92166,0.62289,1.02795,0.80057,0.66638,0.67972,0.45275,1.82812,1.69138,1.67206,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,19718.3,0.85103,0.51629,0.98496,0.80091,0.66675,0.67913,0.4518,1.82787,1.69458,1.67311,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,19854.7,0.82411,0.49918,0.97107,0.80388,0.6627,0.67934,0.45091,1.82686,1.69434,1.67466,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,19991.6,0.81028,0.48482,0.97,0.80404,0.6627,0.67907,0.45113,1.82596,1.69604,1.6751,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,20128.4,0.80873,0.48233,0.96555,0.80584,0.66218,0.67867,0.45091,1.82552,1.70063,1.67497,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,20264.8,0.79314,0.47881,0.96364,0.80747,0.66323,0.67885,0.44989,1.82599,1.70356,1.67631,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,20401.2,0.79065,0.46573,0.9572,0.80602,0.6633,0.67917,0.45001,1.82685,1.70524,1.67907,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,20537.9,0.78998,0.47201,0.96117,0.80556,0.6627,0.67904,0.44979,1.82665,1.70808,1.68055,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,20675,0.78021,0.46219,0.95526,0.80561,0.66218,0.67865,0.44967,1.82672,1.70987,1.68333,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,20811.9,0.77858,0.46585,0.95651,0.80604,0.66218,0.6787,0.44637,1.82725,1.71178,1.68485,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,20949.3,0.77019,0.46009,0.95387,0.80693,0.66323,0.67829,0.44705,1.82772,1.71456,1.68712,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
